Content Type,Date,Program,Segment Description,Speaker Description,Speaker Name,Subtitle
,2023-03-28,tagesthemen,,,,Deshalb ist die Muehe sinnvoll. Es wird sich gelohnt haben.
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,"Gerade, wenn es um Klima und Verkehr geht."
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,Da wird das Umweltministerium mit den Laendern arbeiten.
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,Es bleibt beim Paradigmenwechsel.
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,"Es klingt danach, als koenne nur die FDP zufrieden sein."
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,"Dass wir Verantwortung fuer das ganze Land uebernehmen, ist klar."
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,"Dass sich eine Regierung einigen muss, ist auch klar."
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,"Wir haben vereinbart, dass die Lkw Maut im naechsten Jahr steigt."
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,Der Erloes geht ueberwiegend an die Schiene.
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,Fuenf Milliarden Euro werden nur an die Schiene gehen.
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,Wir haben eine begrenzte Anzahl von Autobahnen beschleunigt.
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,"Es geht aber nur, wenn gleichzeitig Solaranlagen gebaut werden."
