Programme,Section Title,Content Type,Speaker Name,Speaker Description,Segment Description,Date,Start Time,Duration
Tagesschau,Schaltung zu Matthias Deiß in Berlin: Einigung Fr 20:00 01,Einspieler,,,,,,"2'20"""
Tagesschau,Details Heizungsgesetz Sa 20:00 01,Einspieler,,,,31.03.2023,,"2'03"""
Tagesschau,01 Details Heizungsgesetz,Bildinhalt,Judith Rakers,Moderation,"Symbolbilder Gebäudeenergiegesetz: verschiedene Heizungsanlage, u.a. Wärmepumpe, teilweise EINB Schriftgrafik",01.04.2023,20:00:42.06,"0'34"""
Tagesschau,01 Details Heizungsgesetz,Bildinhalt,Judith Rakers,Moderation,Grafik Pläne Gebäudeenergiegesetz Neubau O-Ton,01.04.2023,20:01:36.03,"0'13"""
Tagesschau,01 Details Heizungsgesetz,O-Ton,Ricarda Lang,Vorsitzende Bündnis 90/Die Grünen,(Für Menschen mit einem geringen Einkommen soll eineWärmepumpe nicht mehr kosten als ne Gasheizung; weitere Maßnahmen sind Krediterleichterungen;Kreditkonditionen),01.04.2023,20:01:49.18,"0'17"""
Tagesschau,01 Details Heizungsgesetz,O-Ton,Nadine Bader,Korrespondent,Aufsager,01.04.2023,20:02:29.02,"0'16"""
Tagesschau,Förderprogramm für Austausch alter Heizungen So 20:00 01,Einspieler,,,,01.04.2023,,"1'38"""
Tagesschau,01 Förderprogramm für Austausch alter Heizungen,Sachinhalt,Jens Riewa,Moderation,"Nachdem die Ampel-Koalition einen Kompromiss beim umstrittenen Gebäudeenergiegesetz mit dem Verbot des Einbaus neuer Gas- und Ölheizungen bekannt gegeben hat, arbeitet sie jetzt an einem Förderprogramm. Laut Bundesfinanzministerium soll es eine Art Abwrackprämie für alte Anlagen geben, deren Höhe vom Zustand der Anlage abhängig sein soll. Im ""Bericht aus Berlin"" nannte Bundeswirtschaftsminister Robert Habeck weitere Möglichkeiten, wie die finanzielle Entlastung gestaltet werden kann. Bildinhalt",02.04.2023,20:00:53.18,"1'38"""
Tagesschau,01 Förderprogramm für Austausch alter Heizungen,Bildinhalt,Jens Riewa,Moderation,"Archivmaterial: Hausbesitzer lässt sich für die Umrüstung seiner Heizung beraten, Heizungsbauer im Keller",02.04.2023,20:00:50.01,"0'18"""
Tagesschau,01 Förderprogramm für Austausch alter Heizungen,Bildinhalt,Jens Riewa,Moderation,"Grafik: Stellungnahme Christian Lindner, Bundesminister der Finanzen/Vorsitzender FDP",02.04.2023,20:01:08.22,"0'10"""
