Timecode In,Timecode Out,Subtitle,Program,Date
00:00:19:02,00:00:22:14,Hier ist das Erste Deutsche Fernsehen mit den tagesthemen.,tagesthemen,15.03.23
00:00:22:16,00:00:26:11,Herzlich willkommen zur Live- Untertitelung des NDR (15.03.2023),tagesthemen,15.03.23
00:00:26:15,00:00:29:15,Heute im Studio: Ingo Zamperoni und Susanne Daubner,tagesthemen,15.03.23
00:00:32:18,00:00:35:15,"Guten Abend, willkommen zu den tagesthemen.",tagesthemen,15.03.23
00:00:36:03,00:00:38:15,Fangen wir mit einer guten Nachricht an.,tagesthemen,15.03.23
00:00:38:19,00:00:40:17,Die kommt vom Bundesumweltamt.,tagesthemen,15.03.23
00:00:40:21,00:00:44:18,Das berichtet: Deutschland hat sein Klimaziel fuer 2022 geschafft.,tagesthemen,15.03.23
00:00:44:22,00:00:48:18,Deutschland hat weniger Treibhausgase ausgestossen als 2021.,tagesthemen,15.03.23
00:00:48:20,00:00:51:19,"Ein Rueckgang von 1,9 %, aber immerhin.",tagesthemen,15.03.23
00:00:53:11,00:00:54:21,Koennte man meinen.,tagesthemen,15.03.23
00:00:54:23,00:00:58:16,Bei genauerer Betrachtung loest sich jede Euphorie auf.,tagesthemen,15.03.23
00:00:58:18,00:01:02:13,Zu verdanken haben wir das einem Rueckgang der Produktion.,tagesthemen,15.03.23
00:01:02:18,00:01:06:02,"Der Sektor, bei dem wir den direktesten Hebel haben,",tagesthemen,15.03.23
00:01:06:04,00:01:09:06,"beim Verkehr, bei Gebaeuden, beim Heizen:",tagesthemen,15.03.23
00:01:09:08,00:01:11:16,Da wurden Klimaziele verfehlt.,tagesthemen,15.03.23
00:01:11:18,00:01:14:10,Dort wird zu viel CO2 ausgestossen.,tagesthemen,15.03.23
00:01:14:12,00:01:16:04,"Das ist ein Hauptgrund,",tagesthemen,15.03.23
00:01:16:06,00:01:20:22,warum Habeck das Aus fuer neue ÈOl- und Gas-Heizungen ab 2024 plant.,tagesthemen,15.03.23
00:01:23:08,00:01:25:00,Doch ist das moeglich?,tagesthemen,15.03.23
00:01:25:02,00:01:29:05,"Was kommt auf die Verbraucher zu, die mit ÈOl oder Gas heizen?",tagesthemen,15.03.23
00:01:31:24,00:01:33:17,Nicole Kohnert.,tagesthemen,15.03.23
00:01:35:07,00:01:39:11,Thomas Toedter aus Hannover macht sich Sorgen um seine Heizung.,tagesthemen,15.03.23
00:01:39:14,00:01:42:24,"Noch funktioniert sie, aber was, wenn sie kaputtgeht?",tagesthemen,15.03.23
00:01:43:18,00:01:46:13,"Um mit einer Waermepumpe heizen zu koennen,",tagesthemen,15.03.23
00:01:46:15,00:01:50:01,muesste der 60er-Jahre-Bau komplett saniert werden.,tagesthemen,15.03.23
00:01:50:21,00:01:55:00,Die Heizkoerper muessen auf moderne Plattenheizkoerper umgebaut werden.,tagesthemen,15.03.23
00:01:55:04,00:01:57:08,Dass wir 'ne Effizienz bekommen.,tagesthemen,15.03.23
00:01:57:12,00:01:59:20,Es muss das Dach gedaemmt werden.,tagesthemen,15.03.23
00:01:59:24,00:02:03:10,Die Fenster muessen neu und fachgerecht eingebaut sein.,tagesthemen,15.03.23
00:02:05:04,00:02:07:15,Es muss eine Fussbodenheizung rein.,tagesthemen,15.03.23
00:02:07:17,00:02:10:23,Die Summen beziffern wir mit 200.000 Euro.,tagesthemen,15.03.23
00:02:14:04,00:02:18:17,"Geld, das er als Rentner nicht hat und nicht als Kredit aufnehmen kann.",tagesthemen,15.03.23
00:02:18:19,00:02:20:20,Die Unsicherheit ist gross.,tagesthemen,15.03.23
00:02:21:00,00:02:23:20,Grund ist ein Entwurf zur Energieeffizienz,tagesthemen,15.03.23
00:02:23:22,00:02:26:10,des Wirtschafts- und Bauministeriums.,tagesthemen,15.03.23
00:02:26:14,00:02:28:22,Ab 2024 soll jede neue Heizung,tagesthemen,15.03.23
00:02:28:24,00:02:32:22,zu 65 % mit erneuerbaren Energien betrieben werden.,tagesthemen,15.03.23
00:02:33:12,00:02:38:02,Heisst: Pure Gas- und ÈOlheizungen sollen nicht mehr eingebaut werden.,tagesthemen,15.03.23
