No.;Timecode In;Timecode Out;Subtitle
1;00:00:03:00;00:00:03:00;FABst6 * Gong *ÿÿZZZZZZZZZZ¥¥ã¥¥¥¥¥6
2;00:00:03:00;00:00:03:00;FABst¥¥¥á¥¥à¥ã¥¥¥¥§ª¦ªîªªªGÌ
3;00:00:03:00;00:00:04:03;* Gong *
4;00:00:04:12;00:00:04:12;FABstdHier ist das Erste Deutsche Fernsehen( ( 9
5;00:00:04:12;00:00:04:12;FABst: mit der tagesschau.ÿÿ'õþ
6;00:00:04:12;00:00:07:23;"Hier ist das Erste Deutsche Fernsehen

mit der tagesschau."
7;00:00:09:21;00:00:09:21;FABstd Diese Sendung wurde vom NDR( ( live Af
8;00:00:09:21;00:00:09:21;FABst6untertitelt (01.04.2023)ÿÿ+»°
9;00:00:09:21;00:00:13:15;"Diese Sendung wurde vom NDR

live untertitelt (01.04.2023)"
10;00:00:14:01;00:00:14:01;FABstN Heute im Studio: Judith Rakers.ÿÿÛè
11;00:00:14:01;00:00:16:10;Heute im Studio: Judith Rakers.
12;00:00:17:10;00:00:17:10;FABstd Guten Abend,( ( ich begrüße Si3¦
13;00:00:17:10;00:00:17:10;FABst(e zur tagesschau.ÿÿ9Â
14;00:00:17:10;00:00:20:12;"Guten Abend,

ich begrÈuûe Sie zur tagesschau."
15;00:00:21:19;00:00:21:19;FABstdDer Kompromiss der Ampel-Regierung( ( zu4<i>
16;00:00:21:19;00:00:21:19;FABst8m Austausch von Heizungenÿÿ)ÐX
17;00:00:21:19;00:00:25:11;"Der Kompromiss der Ampel-Regierung

zum Austausch von Heizungen"
18;00:00:25:13;00:00:25:13;FABst@ stößt auf Kritik.ÿÿ¿
19;00:00:25:13;00:00:26:13;stÈoût auf Kritik.
20;00:00:26:21;00:00:26:21;FABstd Im Kern soll es dabei bleiben,( ( dass*Ð
21;00:00:26:21;00:00:26:21;FABst6 neue Heizungen zu 65 % ÿÿ+d
22;00:00:26:21;00:00:30:09;"Im Kern soll es dabei bleiben,

dass neue Heizungen zu 65 %"
23;00:00:30:11;00:00:30:11;FABstd mit erneuerbaren Energien( ( betrRº
24;00:00:30:11;00:00:30:11;FABst0ieben werden müssen. ÿÿ1ä
25;00:00:30:11;00:00:33:11;"mit erneuerbaren Energien

betrieben werden mÈussen."
26;00:00:34:11;00:00:34:11;FABstd Geplant sind aber( ( Ausnahmen uoV
27;00:00:34:11;00:00:34:11;FABst.nd Übergangsfristen.ÿÿ3P<i>
28;00:00:34:11;00:00:37:10;"Geplant sind aber

Ausnahmen und ÈUbergangsfristen."
29;00:00:37:12;00:00:37:12;FABstd Union und Linkspartei bemängeln, ( ( dass ±b
30;00:00:37:12;00:00:37:12;FABstBdie Förderung noch unklar sei.ÿÿAr
31;00:00:37:12;00:00:41:21;"Union und Linkspartei bemÈangeln,

dass die FÈorderung noch unklar sei."
