No.;Timecode In;Timecode Out;Subtitle
1;00:00:03:00;00:00:03:00;FABst6 * Gong *ÿÿZZZZZZZZZZ¥¥ã¥¥¥¥¥6
2;00:00:03:00;00:00:03:00;FABst¥¥¥á¥¥à¥ã¥¥¥¥§ª¦ªîªªªGÌ
3;00:00:03:00;00:00:04:13;* Gong *
4;00:00:04:15;00:00:04:15;FABstdHier ist das Erste Deutsche Fernsehen( ( 9
5;00:00:04:15;00:00:04:15;FABst: mit der tagesschau.ÿÿ'õþ
6;00:00:04:15;00:00:07:23;"Hier ist das Erste Deutsche Fernsehen

mit der tagesschau."
7;00:00:08:00;00:00:08:00;FABstd Diese Sendung wurde vom NDR( ( live Af
8;00:00:08:00;00:00:08:00;FABst6untertitelt (19.04.2023)ÿÿ+²°
9;00:00:08:00;00:00:12:03;"Diese Sendung wurde vom NDR

live untertitelt (19.04.2023)"
10;00:00:15:02;00:00:15:02;FABstRHeute im Studio: Thorsten Schröder.ÿÿS¤
11;00:00:15:02;00:00:17:13;Heute im Studio: Thorsten SchrÈoder.
12;00:00:17:15;00:00:17:15;FABstdGuten Abend, meine Damen und Herren,( ( i*l
13;00:00:17:15;00:00:17:15;FABstBch begrüße Sie zur tagesschau.ÿÿëN
14;00:00:17:15;00:00:21:16;"Guten Abend, meine Damen und Herren,

ich begrÈuûe Sie zur tagesschau."
15;00:00:22:10;00:00:22:10;FABstdDie Bundesregierung treibt Pläne zur( ( Modô
16;00:00:22:10;00:00:22:10;FABstHernisierung von Heizungen voran. ÿÿ©n
17;00:00:22:10;00:00:26:18;"Die Bundesregierung treibt PlÈane zur

Modernisierung von Heizungen voran."
18;00:00:26:20;00:00:26:20;FABstd Das Kabinett brachte( ( einen Geset
19;00:00:26:20;00:00:26:20;FABst0zentwurf auf den Weg.ÿÿ1¹Ì
20;00:00:26:20;00:00:30:00;"Das Kabinett brachte

einen Gesetzentwurf auf den Weg."
21;00:00:30:02;00:00:30:02;FABstd Dafür waren Pläne( ( des WirtsWú
22;00:00:30:02;00:00:30:02;FABst*chaftsministeriumsÿÿ7êH
23;00:00:30:02;00:00:32:17;"DafÈur waren PlÈane

des Wirtschaftsministeriums"
24;00:00:32:19;00:00:32:19;FABstd überarbeitet worden,( ( spezielúØ
25;00:00:32:19;00:00:32:19;FABst*l die Fördersätze.ÿÿ7
26;00:00:32:19;00:00:35:14;"Èuberarbeitet worden,

speziell die FÈordersÈatze."
27;00:00:35:17;00:00:35:17;FABstd Ab 2024 sollen( ( alle neu eingRÚ
28;00:00:35:17;00:00:35:17;FABst(ebauten Heizungenÿÿ9ù
29;00:00:35:17;00:00:38:20;"Ab 2024 sollen

alle neu eingebauten Heizungen"
30;00:00:38:22;00:00:38:22;FABstd zu mindestens 65 %( ( mit Erneuerba
31;00:00:38:22;00:00:38:22;FABst0ren betrieben werden.ÿÿ1Ðv
