No.;Timecode In;Timecode Out;Subtitle
1;00:00:17:14;00:00:17:14;FABst6 * Gong *ÿÿZZZZZZZZZZ¥¥ã¥¥¥¥¥6
2;00:00:17:14;00:00:17:14;FABst¥¥¥ä¥¥¥¥ç¥¥ç¥§ª¦ªîªªªG</i>´
3;00:00:17:14;00:00:18:17;* Gong *
4;00:00:18:19;00:00:18:19;FABstdHier ist das Erste Deutsche Fernsehen( ( 9
5;00:00:18:19;00:00:18:19;FABst: mit den tagesthemen.ÿÿ'ºð
6;00:00:18:19;00:00:22:01;"Hier ist das Erste Deutsche Fernsehen

mit den tagesthemen."
7;00:00:22:02;00:00:22:02;FABstd Diese Sendung wurde vom NDR( ( live Af
8;00:00:22:02;00:00:22:02;FABst6untertitelt (14.06.2023)ÿÿ+½¨
9;00:00:22:02;00:00:25:16;"Diese Sendung wurde vom NDR

live untertitelt (14.06.2023)"
10;00:00:25:18;00:00:25:18;FABstd Heute im Studio:( ( Helge Fuhst u>Î
11;00:00:25:18;00:00:25:18;FABst,nd Susanne Daubner.ÿÿ5ÊJ
12;00:00:25:18;00:00:28:14;"Heute im Studio:

Helge Fuhst und Susanne Daubner."
13;00:00:29:01;00:00:29:01;FABstd Wir begrüßen Sie herzlich,( ( schönÜâ
14;00:00:29:01;00:00:29:01;FABst0 dass Sie dabei sind.ÿÿ1ã.
15;00:00:29:01;00:00:32:07;"Wir begrÈuûen Sie herzlich,

schÈon dass Sie dabei sind."
16;00:00:32:09;00:00:32:09;FABstN Auch von mir einen guten Abend.ÿÿÚò
17;00:00:32:09;00:00:34:05;Auch von mir einen guten Abend.
18;00:00:34:07;00:00:34:07;FABstd Viele kennen ihn( ( aus Hollywg
19;00:00:34:07;00:00:34:07;FABst(ood-Blockbustern,ÿÿ9¹t
20;00:00:34:07;00:00:36:19;"Viele kennen ihn

aus Hollywood-Blockbustern,"
21;00:00:36:20;00:00:36:20;FABstNin denen die Welt gerettet wird:ÿÿº
22;00:00:36:20;00:00:38:24;in denen die Welt gerettet wird:
23;00:00:39:01;00:00:39:01;FABstRDen Situation Room im Weißen Haus.ÿÿ/
24;00:00:39:01;00:00:41:03;Den Situation Room im Weiûen Haus.
25;00:00:41:17;00:00:41:17;"FABstdIn Echt tagt in dem ""Lageraum"" der ( ( ""Nv6"
26;00:00:41:17;00:00:41:17;"FABstHationale Sicherheitsrat"" der USA,!¼ "
27;00:00:41:17;00:00:45:20;"In Echt tagt in dem ""Lageraum"" der

""Nationale Sicherheitsrat"" der USA,"
