Timecode In,Timecode Out,Subtitle
00:00:19:00,00:00:22:14,Hier ist das Erste Deutsche Fernsehen mit den tagesthemen.
00:00:22:16,00:00:26:11,Diese Sendung wurde vom NDR live untertitelt (20.04.2023)
00:00:26:13,00:00:29:08,Heute im Studio: Aline Abboud und Judith Rakers.
00:00:29:11,00:00:32:14,"Guten Abend. Schoen, dass Sie dabei sind."
00:00:32:20,00:00:34:00,Guten Abend.
00:00:34:11,00:00:37:02,"Wenn man sich in den Grossstaedten umschaut,"
00:00:37:04,00:00:40:11,"hat man das Gefuehl, ueberall sind Grossbaustellen."
00:00:41:15,00:00:44:24,"Es wird gebaut - seit Jahren, wie hier in Hamburg."
00:00:45:01,00:00:47:05,Trotzdem: Wohnraum ist knapp.
00:00:47:07,00:00:51:11,Deutschlandweit fehlen geschaetzt 700.000 Wohnungen.
00:00:52:07,00:00:53:14,Das Problem:
00:00:53:16,00:00:56:20,Es werden immer weniger Wohnungen und Haeuser gebaut.
00:00:56:22,00:01:00:02,Denn seit Mai 2022 sinken die Baugenehmigungen.
00:01:00:04,00:01:02:01,Dafuer gibts viele Gruende:
00:01:02:03,00:01:06:15,"Steigende Zinsen, Baukosten, Fachkraeftemangel, Buerokratie ..."
00:01:08:05,00:01:11:08,"Die Liste ist lang, die Herausforderung gross."
00:01:11:10,00:01:15:20,Und der Traum vom Eigenheim ist so aussichtslos wie lange nicht.
00:01:15:22,00:01:17:06,Lucretia Gather.
00:01:19:02,00:01:21:23,Ihr Traum vom eigenen Haus ist geplatzt.
00:01:22:00,00:01:24:23,In einem Neubaugebiet am Rande von Landstuhl
00:01:25:00,00:01:27:22,wollte Olesja Gruschas mit ihrem Mann bauen.
00:01:27:24,00:01:31:21,Vier Jahre warteten sie auf den Zuschlag fuer dieses Grundstueck.
00:01:31:23,00:01:34:20,Aber in dieser Zeit explodierten die Baukosten.
00:01:34:22,00:01:37:09,Dann verdoppelte sich noch der Zinssatz.
00:01:37:11,00:01:40:14,Die monatliche Belastung fuer die beiden Angestellten
00:01:40:16,00:01:42:18,laege jetzt bei ueber 3000 Euro.
00:01:42:20,00:01:44:13,Sie zogen die Reissleine.
00:01:45:14,00:01:47:21,Man moechte ja auch noch leben.
00:01:47:23,00:01:51:03,"Ich hatte damit zu kaempfen, fand es sehr traurig."
00:01:51:05,00:01:54:00,Mein Mann ist da realistischer als ich.
00:01:54:19,00:01:57:13,Man muss jetzt schauen.
00:02:00:07,00:02:03:23,"Auch andere Familien seien abgesprungen, erzaehlt Gruscha."
00:02:04:00,00:02:07:12,"Die Stadt sagt, der Verkauf der noch freien Grundstuecke"
00:02:07:14,00:02:08:21,laufe schleppend.
00:02:08:23,00:02:11:14,Viele koennten es sich nicht mehr leisten.
00:02:11:16,00:02:15:09,"So geht es nicht nur Privatleuten, sondern auch Bautraegern."
00:02:15:11,00:02:18:23,Wie hier in Zweibruecken im Suedwesten von Rheinland-Pfalz.
00:02:19:00,00:02:23:11,Die kommunale Wohnungsbaugesellschaft wollte zwoelf Sozialwohnungen bauen -
00:02:23:13,00:02:25:00,auf diesem Gelaende.
00:02:25:02,00:02:27:24,Ein Neubau mit 800 Quadratmetern Wohnflaeche.
00:02:28:01,00:02:31:05,Doch seit die Gesellschaft das Grundstueck kaufte.
00:02:31:07,00:02:35:03,"sind die Kosten fuer Material, Handwerker und Energie gestiegen."
00:02:35:05,00:02:37:17,Nun liegt das Bauprojekt auf Eis.
00:02:38:09,00:02:41:20,"Gescheitert ist das Vorhaben daran, dass die Baukosten"
00:02:41:22,00:02:44:19,innerhalb eines halben Jahres explodiert sind.
00:02:44:21,00:02:48:03,"Urspruenglich hatten wir mit 2,3 Mio. Baukosten gerechnet."
00:02:48:05,00:02:51:06,"Anschliessend sind 3,1 Mio. rausgekommen."
00:02:51:18,00:02:55:21,"Zeitgleich wurde ein KfW-Zuschuss von 40 % gestrichen,"
00:02:56:14,00:02:58:21,mit dem wir fest kalkuliert haben.
00:02:58:23,00:03:00:17,Die Wohnungsbaugesellschaft
00:03:00:19,00:03:03:17,kann den Neubau finanziell nicht mehr stemmen.
00:03:03:19,00:03:06:00,Sie braucht ihr Geld fuer anderes.
00:03:06:02,00:03:09:01,Sie muss einen Grossteil ihrer 500 Bestandsimmobilien
00:03:09:03,00:03:10:16,energetisch sanieren.
00:03:10:18,00:03:13:20,"Bauinvestitionen sind unattraktiv wie lange nicht,"
00:03:13:22,00:03:16:21,heisst es im Gutachten der Immobilienwirtschaft.
00:03:16:23,00:03:21:12,Die Bautaetigkeit geht zurueck - trotz 700.000 fehlender Wohnungen.
00:03:21:14,00:03:24:07,"Auf dem Immobilienmarkt herrsche Stillstand,"
00:03:24:09,00:03:26:24,sagt Immobilienfachmann Sven Carstensen.
00:03:27:01,00:03:30:04,Die Wohnraumknappheit werde sich verschaerfen.
00:03:30:15,00:03:34:07,Das Setzen auf staatliche Foerderung wird nicht ausreichen.
00:03:34:10,00:03:36:23,"Wir brauchen Verschlankung der Prozesse,"
00:03:36:24,00:03:40:18,Entschlackung von Planungs- und Baurechtsvorgaben.
00:03:42:00,00:03:45:20,Das Thema Grunderwerbssteuer muss hinterfragt werden.
00:03:45:22,00:03:50:04,"Es muss geschaut werden, wie bekommen wir das Bauen guenstiger."
00:03:50:23,00:03:54:10,"Bis diese Massnahmen greifen, koennten Jahre vergehen."
00:03:54:12,00:03:59:00,"Olesja Gruscha in Landstuhl hofft, dass sich die Lage doch entspannt."
00:03:59:02,00:04:02:17,Ihren Traum vom eigenen Haus will sie nicht aufgeben.
00:04:04:17,00:04:09:04,"Dass sich die Lage entspannen wird, sieht die Baubranche eher skeptisch."
00:04:09:07,00:04:11:19,Der Tenor dort ist eher nach dem Motto:
