Timecode In,Timecode Out,Subtitle
00:00:04:14,00:00:08:13,Hier ist das Erste Deutsche Fernsehen mit der tagesschau.
00:00:08:17,00:00:13:02,Diese Sendung wurde vom NDR live untertitelt (04.06.2023)
00:00:15:01,00:00:17:18,Heute im Studio: Julia-Niharika Sen.
00:00:18:23,00:00:21:17,"Guten Abend, ich begruesse Sie zur tagesschau."
00:00:24:00,00:00:27:06,In Polen gingen heute Hunderttausende gegen die Politik
00:00:27:08,00:00:30:07,der nationalkonservativen Regierung auf die Strasse.
00:00:30:09,00:00:34:16,"Gefordert wurden freie Wahlen und ein demokratisches, europaeisches Polen."
00:00:34:19,00:00:36:22,Letzter Ausloeser fuer die Proteste
00:00:36:24,00:00:39:19,war ein Gesetz fuer eine Untersuchungskommission.
00:00:39:21,00:00:43:07,Diese soll russische Einflussnahme auf die Politik pruefen.
00:00:43:09,00:00:44:22,Die Opposition
00:00:44:24,00:00:48:12,"sieht darin den Versuch, gegen politische Gegner vorzugehen."
00:00:48:14,00:00:51:08,V.a. gegen Ex-Regierungschef Donald Tusk.
00:00:52:10,00:00:56:08,"Ganz vorn marschiert Donald Tusk, Chef der Oppositionspartei PO."
00:00:56:13,00:00:59:17,Er hatte zu dem Marsch gegen die Regierung aufgerufen.
00:00:59:21,00:01:02:10,"Neben ihm Lech Walesa, eine Legende in Polen"
00:01:02:12,00:01:05:09,im Kampf gegen Kommunismus und fuer Demokratie.
00:01:05:13,00:01:09:00,Dass 34 Jahre nach den ersten halbfreien Wahlen in Polen
00:01:09:04,00:01:11:22,fuer viele die Demokratie auf dem Spiel steht:
00:01:12:01,00:01:14:18,Es trieb Hunderttausende auf die Strasse.
00:01:16:01,00:01:18:17,Die Demokratie stirbt in der Stille.
00:01:18:21,00:01:21:02,Heute werden wir nicht still sein.
00:01:21:06,00:01:24:12,Ihr erhebt eure Stimme im Namen von 38 Millionen Polen.
00:01:24:14,00:01:27:03,"Fuer die Demokratie, damit sie nicht stirbt."
00:01:27:05,00:01:32:00,Gegen die Angriffe von Kaczinsky und der Regierung auf ihre Fundamente.
00:01:32:04,00:01:35:05,"Viele entschieden sich kurzfristig, mitzulaufen."
00:01:35:09,00:01:39:21,Die PiS beschloss vor einer Woche ein heftig umstrittenes Gesetz.
00:01:40:08,00:01:44:05,Eine Kommission soll russischen Einfluss auf polnische Politik
00:01:44:09,00:01:46:21,in den vergangenen 16 Jahren untersuchen.
00:01:47:00,00:01:50:24,Sie kann Beschuldigten die Eignung fuer oeffentliche ÈAmter aberkennen.
00:01:51:01,00:01:54:07,De facto soll vor allem Donald Tusk am Pranger stehen.
00:01:54:11,00:01:57:15,"Der Weg zu unfreien Wahlen, so sehen es viele:"
00:01:58:16,00:02:01:02,Ein Krebsgeschwuer frisst unser Land.
00:02:01:04,00:02:04:13,Unsere Regierung zwingt uns in die Arme des Totalitarismus.
00:02:04:15,00:02:06:17,Wir machen es Russland nach.
00:02:08:08,00:02:11:05,Der Demonstration schlossen sich neben der PO
00:02:11:22,00:02:13:24,alle grossen Oppositionsparteien an.
00:02:15:08,00:02:17:20,"Der Versuch der PiS, mit dem ""Lex Tusk"""
00:02:17:24,00:02:21:15,"ihren groessten Gegner bei den Wahlen, Donald Tusk, zu schwaechen:"
00:02:22:06,00:02:24:10,Er koennte sich als Bumerang erweisen.
00:02:24:12,00:02:27:20,Die Demonstration ist eine der groessten in Polen seit 1989.
00:02:29:12,00:02:33:07,In Leipzig war die Polizei nach Krawallen mit einem Grossaufgebot
00:02:33:09,00:02:36:07,gegen Demonstrierende der linken Szene im Einsatz.
00:02:37:19,00:02:40:01,Auf beiden Seiten gab es Verletzte.
00:02:40:03,00:02:44:07,Gegen fuenf Personen wurde Haftbefehl wegen Landfriedensbruchs erlassen.
00:02:44:09,00:02:46:18,Die mutmassliche Linksextremistin Lina E.
00:02:46:20,00:02:49:08,war zu einer Haftstrafe verurteilt worden.
00:02:49:10,00:02:53:08,Linksautonome hatten bundesweit zu Protesten in Leipzig aufgerufen.
00:02:53:10,00:02:56:07,Eine Demonstration gegen Polizeigewalt heute
00:02:56:09,00:02:58:00,hat die Stadt verboten.
00:02:59:18,00:03:03:15,Vergangene Nacht in Leipzig - erneut kommt es zu Ausschreitungen.
00:03:03:19,00:03:07:13,"Eine Polizeistation wird angegriffen, Fahrzeuge beschaedigt,"
00:03:07:14,00:03:09:00,Barrikaden errichtet.
00:03:09:02,00:03:12:24,"Insgesamt wurden 50 Polizisten verletzt, 30 Menschen festgenommen,"
00:03:13:01,00:03:15:01,3000 Beamte waren im Einsatz.
00:03:15:05,00:03:18:04,Einschaetzungen des saechsischen Innenministers.
00:03:18:08,00:03:22:06,"Wo es um Gewalt geht, wo es um Steine werfen, Pyrotechnik,"
00:03:22:11,00:03:25:19,Molotow-Cocktails geht - das war alles im Spiel:
00:03:25:23,00:03:29:24,"Da musst du klarmachen, dass der Rechtsstaat agieren wird."
00:03:31:07,00:03:35:24,Kritik gab es am Vorgehen der Polizei bei einer angemeldeten Demonstration.
