Programme,Section Title,Content Type,Speaker Name,Speaker Description,Segment Description,Date,Start Time,Duration
Tagesthemen,Studio-Interview mit Matthias Sandrock: Mi 23:16 02,Einspieler,,,,,,"5'57"""
Tagesthemen,02 Studio-Interview mit Matthias Sandrock: Energiewende,Sachinhalt,Ingo Zamperoni,Moderation,"Studio-Interview mit Matthias Sandrock, Geschäftsführer Hamburg Institut, über den umstrittenen Entwurf des Wirtschafts- und des Bauministeriums zur Änderung des Gebäudeenergiegesetzes. O-Ton",15.03.2023,22:20:42.18,"5'57"""
Tagesthemen,02 Studio-Interview mit Matthias Sandrock: Energiewende,O-Ton,Matthias Sandrock (Im Hinblick auf den Klimaschutz und vor dem Hintergrund,das gesamte Energiesystem,"(Im Hinblick auf den Klimaschutz und vor dem Hintergrund, das gesamte Energiesystemresilienter aufzustellen, müssen wir jetzt fossile Heizungen beenden. Auf lange Sicht sind Wärmepumpensehr viel günstiger. Wärmenetze sind ebenfalls eine gute Alternative. Der Ausbau erneuerbarer Energien fürdie Stromerzeugung muss dafür auch vorangetrieben werden)",15.03.2023,22:20:42.18,"5'57"""
Tagesthemen,Streit über Energiewende Mi 23:16 01,Einspieler,,,,15.03.2023,,"2'45"""
Tagesthemen,01 Streit über Energiewende,Sachinhalt,Ingo Zamperoni,Moderation,"Der Entwurf des Wirtschafts- und des Bauministeriums zur Änderung des Gebäudeenergiegesetzes hat bei Hauseigentümern mit alten Heizungen für Verunsicherung gesorgt. Der Entwurf sieht vor, dass der Einbau neuer Gas- und Ölheizungen bereits ab 2024 verboten und neue Heizungen möglichst zu 65 Prozent mit erneuerbaren Energien betrieben werden sollen. Bildinhalt",15.03.2023,22:17:57.13,"2'45"""
Tagesthemen,01 Streit über Energiewende,Bildinhalt,Ingo Zamperoni,Moderation,"Thomas Toedter, Hausbesitzer (zu notwendigen Dämmmaßnahmen beim Einbau einer Wärmepumpenheizung in sein altes Haus)",15.03.2023,22:18:20.21,"0'15"""
Tagesthemen,01 Streit über Energiewende,Bildinhalt,Ingo Zamperoni,Moderation,"Information ""Änderung des Gebäudeenergiegesetzes (GEG)"" auf der Internetseite des Bundeswirtschaftsministeriums",15.03.2023,22:18:45.02,"0'21"""
Tagesthemen,01 Streit über Energiewende,Bildinhalt,Ingo Zamperoni,Moderation,Arbeiten in einer Werkstatt O-Ton,15.03.2023,22:20:03.11,"0'09"""
Tagesthemen,01 Streit über Energiewende,O-Ton,Andreas Kreth,Heizungsbaumeister,(zu notwendigen Maßnahmen beim Einbau einerWärmepumpenheizung in ein altes Haus),15.03.2023,22:18:14.04,"0'06"""
Tagesthemen,01 Streit über Energiewende,O-Ton,Bernd Riexinger,Fraktion Die Linke,(Eine Wärmewende darf auf keinen Fall zu Lasten der Mieter gehen),15.03.2023,22:19:07.00,"0'05"""
Tagesthemen,01 Streit über Energiewende,O-Ton,15.11.2023 09:50 Seite 2 von 57 NDR Copyright,,(c),15.03.2023,22:19:12.02,"0'08"""
Tagesthemen,01 Streit über Energiewende,O-Ton,Klara Geywitz,"Bundesministerin für Wohnen, Stadtentwicklung und Bauwesen/SPD","(Wir wollen keine reinenGas- und Ölheizungen haben, aber es wird jede Menge hybride Lösungen geben)",15.03.2023,22:19:28.01,"0'06"""
Tagesthemen,01 Streit über Energiewende,O-Ton,Ralf Kurze,Heizungsinstallateur,"(zu besorgten Kunden, die Angst haben, nicht mehr mit fossilenBrennstoffen heizen zu dürfen)",15.03.2023,22:19:45.11,"0'17"""
Tagesthemen,01 Streit über Energiewende,O-Ton,Robert Habeck,Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,(Die soziale Fragemuss abgefedert werden. Beim Austausch eines Gaskessels gegen eine teurere Wärmepumpe darf keinesoziale Not entstehen),15.03.2023,22:20:16.04,"0'15"""
Tagesthemen,Schaltgespräch mit Ricarda Lang: Di 22:18 02,Einspieler,,,,15.03.2023,,"5'48"""
Tagesthemen,02 Schaltgespräch mit Ricarda Lang: Koalitionsausschuss,Sachinhalt,Ingo Zamperoni,Moderation,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",28.03.2023,22:22:44.03,"5'48"""
Tagesthemen,02 Schaltgespräch mit Ricarda Lang: Koalitionsausschuss,O-Ton,Ricarda Lang,Vorsitzende Bündnis 90/Die Grünen,"(gesteht ein: ""Wir schaffen es immer noch nicht, die Lückebeim Klimaschutz im Verkehr vollends zu schließen"")",28.03.2023,22:22:44.03,"0'56"""
