,Content Type,Date,Program,Speaker Description,Speaker Name,Subtitle,affiliation,Processed
1,O-Ton,2023-03-28,tagesthemen,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,"Gerade, wenn es um Klima und Verkehr geht.",Die Grünen,gerade Klima Verkehr gehen
2,O-Ton,2023-03-28,tagesthemen,wenn durch Baumaßnahmen in Natur und,Ricarda Lang (zur Möglichkeit von Kompensationszahlungen,Da wird das Umweltministerium mit den Laendern arbeiten.,Die Grünen,Umweltministerium Laender arbeiten
3,O-Ton,2023-03-28,tagesthemen,wenn durch Baumaßnahmen in Natur und,Ricarda Lang (zur Möglichkeit von Kompensationszahlungen,Es bleibt beim Paradigmenwechsel.,Die Grünen,bleiben Paradigmenwechsel
4,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,"Es klingt danach, als koenne nur die FDP zufrieden sein.",Die Grünen,klingen danach Koenne FDP zufrieden
5,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,"Dass wir Verantwortung fuer das ganze Land uebernehmen, ist klar.",Die Grünen,Verantwortung Fuer ganz Land uebernehmen klar
6,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,"Dass sich eine Regierung einigen muss, ist auch klar.",Die Grünen,Regierung klar
7,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,"Wir haben vereinbart, dass die Lkw Maut im naechsten Jahr steigt.",Die Grünen,vereinbaren Lkw mauen naechst Jahr steigen
8,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,Der Erloes geht ueberwiegend an die Schiene.,Die Grünen,erloes gehen ueberwiegend Schiene
9,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,Fuenf Milliarden Euro werden nur an die Schiene gehen.,Die Grünen,Fuenf Milliarde Euro Schiene gehen
10,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,Wir haben eine begrenzte Anzahl von Autobahnen beschleunigt.,Die Grünen,begrenzt Anzahl Autobahn beschleunigen
11,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,"Es geht aber nur, wenn gleichzeitig Solaranlagen gebaut werden.",Die Grünen,gehen gleichzeitig Solaranlage bauen
12,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,Jeder Kilometer Autobahn wird auch fuer erneuerbare Energien genutzt.,Die Grünen,Kilometer Autobahn Fuer erneuerbar Energie nutzen
13,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,"Wir bekraeftigen gemeinsam, dass das Gebaeude-Energiegesetz kommen wird.",Die Grünen,bekraeftigen gemeinsam Gebaeudeenergiegesetz kommen
14,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,Wir werden einen sozialen Ausgleich dafuer machen.,Die Grünen,sozial Ausgleich Dafuer
15,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,Wir sprechen noch mit einem weiteren Teilnehmer,Die Grünen,sprechen weit Teilnehmer
16,O-Ton,2023-03-28,tagesthemen,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,In den letzten Jahren ist vieles liegen geblieben.,Die Grünen,letzter Jahr viele liegen bleiben
17,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,der Marathon-Sitzung.,Die Grünen,Marathonsitzung
18,O-Ton,2023-03-28,tagesthemen,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,"Wir schaffen es immer noch nicht, die Luecke beim Verkehr zu schliessen.",Die Grünen,schaffen immer Luecke Verkehr schliessen
19,O-Ton,2023-03-28,tagesthemen,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,Wir kommen aus nicht einfachen Verhandlungen.,Die Grünen,kommen einfach Verhandlung
29,O-Ton,2023-03-28,tagesthemen,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,"In Berlin begruesse ich die Co-Partei-Chefin der Gruenen,",Die Grünen,Berlin begruessen Coparteichefin gruen
30,O-Ton,2023-03-28,tagesthemen,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,Ricarda Lang.,Die Grünen,Ricarda lang
31,O-Ton,2023-03-28,tagesthemen,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,Guten Abend.,Die Grünen,gut Abend
32,O-Ton,2023-03-28,tagesthemen,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,"Vor einer Woche beklagte Robert Habeck hier im Interview beklagt,",Die Grünen,Woche beklagt Robert Habeck Interview beklagen
33,O-Ton,2023-03-28,tagesthemen,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,die Koalition komme ihrem Auftrag nicht nach.,Die Grünen,Koalition kommen Auftrag
34,O-Ton,2023-03-28,tagesthemen,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,Wird sie das nach dieser Marathon-Sitzung nun?,Die Grünen,Marathonsitzung
35,O-Ton,2023-03-28,tagesthemen,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,Es waren zaehe Verhandlungen.,Die Grünen,zaehen Verhandlung
36,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,Ebenfalls in unserem Hauptstadtstudio,Die Grünen,ebenfalls Hauptstadtstudio
