Programme,Section Title,Content Type,Speaker Name,Speaker Description,Segment Description,Date,Start Time,Duration,Subtitles
Tagesschau,Schaltung zu Matthias Deiß in Berlin: Einigung Fr 20:00 01,Einspieler,,,,,,"2'20""",
Tagesschau,Details Heizungsgesetz Sa 20:00 01,Einspieler,,,,2023-03-31,,"2'03""",
Tagesschau,01 Details Heizungsgesetz,Bildinhalt,Judith Rakers,Moderation,"Symbolbilder Gebäudeenergiegesetz: verschiedene Heizungsanlage, u.a. Wärmepumpe, teilweise EINB Schriftgrafik",2023-04-01,20:00:42.06,"0'34""",
Tagesschau,01 Details Heizungsgesetz,Bildinhalt,Judith Rakers,Moderation,Grafik Pläne Gebäudeenergiegesetz Neubau O-Ton,2023-04-01,20:01:36.03,"0'13""",
Tagesschau,01 Details Heizungsgesetz,O-Ton,Ricarda Lang,Vorsitzende Bündnis 90/Die Grünen,(Für Menschen mit einem geringen Einkommen soll eineWärmepumpe nicht mehr kosten als ne Gasheizung; weitere Maßnahmen sind Krediterleichterungen;Kreditkonditionen),2023-04-01,20:01:49.18,"0'17""",
Tagesschau,01 Details Heizungsgesetz,O-Ton,Nadine Bader,Korrespondent,Aufsager,2023-04-01,20:02:29.02,"0'16""",
Tagesschau,Förderprogramm für Austausch alter Heizungen So 20:00 01,Einspieler,,,,2023-04-01,,"1'38""","Hier ist das Erste Deutsche Fernsehen mit der tagesschau. Diese Sendung wurde vom NDR live untertitelt (01.04.2023) Heute im Studio: Judith Rakers. Guten Abend, ich begruesse Sie zur tagesschau. Der Kompromiss der Ampel-Regierung zum Austausch von Heizungen stoesst auf Kritik. Im Kern soll es dabei bleiben, dass neue Heizungen zu 65 % mit erneuerbaren Energien betrieben werden muessen. Geplant sind aber Ausnahmen und ÈUbergangsfristen. Union und Linkspartei bemaengeln, dass die Foerderung noch unklar sei. Heizen mit Erdgas oder Heizoel Ð in Deutschland bisher die Regel. Mehr als 80 % der Waerme stammt aus fossilen Energien. Das soll sich aendern. Ab 2024 soll jede neue Heizung zu 65 % mit erneuerbaren Energien betrieben werden. Aber es gilt: keine generelle Austauschpflicht. Kaputte alte Heizungen koennen repariert werden. Ist dies nicht moeglich, gelten ÈUbergangsfristen fuer den Umstieg. Keine Pflicht umzusteigen gibt es fuer ueber 80-Jaehrige. Dem Sozialverband reichen die Ausnahmen nicht. Wir fordern mehr Parameter als nur eine Altersgrenze. Etwa die Betreuung von Pflegebeduerftigen, finanzielle Moeglichkeiten, Betreuung pflegebeduerftiger Kinder. Das muss eine Rolle spielen, wenn es darum geht, wer einen Beitrag leisten soll."
Tagesschau,01 Förderprogramm für Austausch alter Heizungen,Sachinhalt,Jens Riewa,Moderation,"Nachdem die Ampel-Koalition einen Kompromiss beim umstrittenen Gebäudeenergiegesetz mit dem Verbot des Einbaus neuer Gas- und Ölheizungen bekannt gegeben hat, arbeitet sie jetzt an einem Förderprogramm. Laut Bundesfinanzministerium soll es eine Art Abwrackprämie für alte Anlagen geben, deren Höhe vom Zustand der Anlage abhängig sein soll. Im ""Bericht aus Berlin"" nannte Bundeswirtschaftsminister Robert Habeck weitere Möglichkeiten, wie die finanzielle Entlastung gestaltet werden kann. Bildinhalt",2023-04-02,20:00:53.18,"1'38""",
Tagesschau,01 Förderprogramm für Austausch alter Heizungen,Bildinhalt,Jens Riewa,Moderation,"Archivmaterial: Hausbesitzer lässt sich für die Umrüstung seiner Heizung beraten, Heizungsbauer im Keller",2023-04-02,20:00:50.01,"0'18""",
Tagesschau,01 Förderprogramm für Austausch alter Heizungen,Bildinhalt,Jens Riewa,Moderation,"Grafik: Stellungnahme Christian Lindner, Bundesminister der Finanzen/Vorsitzender FDP",2023-04-02,20:01:08.22,"0'10""",
Tagesschau,01 Förderprogramm für Austausch alter Heizungen,Bildinhalt,Jens Riewa,Moderation,"Regieraum ""Bericht aus Berlin"" (mehrmals) Bundeswirtschaftsminister Robert Habeck im Studiointerview",2023-04-02,20:01:19.19,"0'32""",
Tagesschau,01 Förderprogramm für Austausch alter Heizungen,Bildinhalt,Jens Riewa,Moderation,"Bundesbauministerin Klara Geywitz im Studiointerview von ""Berlin Direkt"" (ZDF)",2023-04-02,20:01:52.06,"0'21""",
Tagesschau,01 Förderprogramm für Austausch alter Heizungen,Bildinhalt,Jens Riewa,Moderation,Handwerker liefern neue Wärmepumpe bei Hausbesitzerin an O-Ton,2023-04-02,20:02:14.02,"0'14""",
Tagesschau,01 Förderprogramm für Austausch alter Heizungen,O-Ton,Robert Habeck,Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,(zählt Möglichkeitender finanziellen Unterstützung beim Einbau einer neuen Heizung auf),2023-04-02,20:01:28.22,"0'14""",
Tagesschau,01 Förderprogramm für Austausch alter Heizungen,O-Ton,Klara Geywitz,"Bundesministerin für Wohnen, Stadtentwicklung und Bauwesen/SPD [ZDF]","(EineAbwrackprämie, die die alten Modelle als Erstes vom Markt nimmt, ist durchaus sinnvoll; Prämie wäretechnologieoffen, der Hausbesitzer kann entscheiden, wofür er sie einsetzt)",2023-04-02,20:01:58.09,"0'15""",
