affiliation,Sentiment,Percent of Texts
AFD,negative,7.6923076923076925
AFD,neutral,15.384615384615385
AFD,positive,76.92307692307692
ARD,negative,3.8360941586748036
ARD,neutral,11.595466434176112
ARD,positive,84.56843940714909
CDU/CSU,negative,2.808988764044944
CDU/CSU,neutral,11.797752808988765
CDU/CSU,positive,85.3932584269663
Die Grünen,negative,7.010309278350515
Die Grünen,neutral,15.670103092783505
Die Grünen,positive,77.31958762886597
Die Linke,neutral,25.806451612903224
Die Linke,positive,74.19354838709677
Expert,negative,5.3859964093357275
Expert,neutral,17.953321364452425
Expert,positive,76.66068222621185
FDP,negative,3.1055900621118013
FDP,neutral,16.770186335403725
FDP,positive,80.12422360248448
Freie Wähler,neutral,12.5
Freie Wähler,positive,87.5
SPD,negative,4.6875
SPD,neutral,14.583333333333334
SPD,positive,80.72916666666667
