Programme,Section Title,Content Type,Speaker Name,Speaker Description,Segment Description,Start Time,Duration
Tagesschau,01 Details Heizungsgesetz,O-Ton,"Judith, Rakers",,"Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen (Für Menschen mit einem geringen Einkommen soll eine Wärmepumpe nicht mehr kosten als ne Gasheizung; weitere Maßnahmen sind Krediterleichterungen; Kreditkonditionen)",20:01:49.18,"0'17"""
Tagesschau,01 Förderprogramm für Austausch alter Heizungen,O-Ton,"Judith, Rakers",,"Aufsager Nadine Bader Aufzeichnung/Produktion Sendung Beitrag 01 Programmentstehung Eigenproduktion Herkunft ARD-aktuell und EVN Hauptstadtstudio Berlin Realisation sendefertig 15'19"" Tagesschau F: 24475 02.04.2023 ARDAKT 1'38"" Förderprogramm für Austausch alter Heizungen So 20:00 01 Titel Serien-/Reihentitel Tagesschau F: 24475 01 Bericht aus Berlin zu Ampel-Koalition und Standort Deutschland 15.11.2023 09:44 Seite 2 von 36 NDR Copyright (c) 2004",20:02:29.02,"0'16"""
Tagesschau,01 Förderprogramm für Austausch alter Heizungen,Sachinhalt,"Jens, Riewa",,"01 Start-TC Beitrag: 20:00:53.18 Dauer: 1'38"" Nachdem die Ampel-Koalition einen Kompromiss beim umstrittenen Gebäudeenergiegesetz mit dem Verbot des Einbaus neuer Gas- und Ölheizungen bekannt gegeben hat, arbeitet sie jetzt an einem Förderprogramm. Laut Bundesfinanzministerium soll es eine Art Abwrackprämie für alte Anlagen geben, deren Höhe vom Zustand der Anlage abhängig sein soll. Im ""Bericht aus Berlin"" nannte Bundeswirtschaftsminister Robert Habeck weitere Möglichkeiten, wie die finanzielle Entlastung gestaltet werden kann. Bildinhalt",20:02:29.02,"0'16"""
Tagesschau,01 Förderprogramm für Austausch alter Heizungen,Sachinhalt,"Jens, Riewa",,"Archivmaterial: Hausbesitzer lässt sich für die Umrüstung seiner Heizung beraten, Heizungsbauer im Keller",20:00:50.01,"0'18"""
Tagesschau,01 Förderprogramm für Austausch alter Heizungen,Sachinhalt,"Jens, Riewa",,"Grafik: Stellungnahme Christian Lindner, Bundesminister der Finanzen/Vorsitzender FDP",20:01:08.22,"0'10"""
Tagesschau,01 Förderprogramm für Austausch alter Heizungen,Sachinhalt,"Jens, Riewa",,"Regieraum ""Bericht aus Berlin"" (mehrmals) Bundeswirtschaftsminister Robert Habeck im Studiointerview",20:01:19.19,"0'32"""
Tagesschau,01 Förderprogramm für Austausch alter Heizungen,Sachinhalt,"Jens, Riewa",,"Bundesbauministerin Klara Geywitz im Studiointerview von ""Berlin Direkt"" (ZDF)",20:01:52.06,"0'21"""
Tagesschau,01 Förderprogramm für Austausch alter Heizungen,O-Ton,"Jens, Riewa",,"Robert Habeck, Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen (zählt Möglichkeiten der finanziellen Unterstützung beim Einbau einer neuen Heizung auf)",20:01:28.22,"0'14"""
Tagesschau,01 Förderprogramm für Austausch alter Heizungen,O-Ton,"Jens, Riewa",,"Klara Geywitz, Bundesministerin für Wohnen, Stadtentwicklung und Bauwesen/SPD [ZDF] (Eine Abwrackprämie, die die alten Modelle als Erstes vom Markt nimmt, ist durchaus sinnvoll; Prämie wäre technologieoffen, der Hausbesitzer kann entscheiden, wofür er sie einsetzt) Aufzeichnung/Produktion 15.11.2023 09:44 Seite 3 von 36 NDR Copyright (c) 2004",20:01:58.09,"0'15"""
Tagesschau,01 Bundesregierung: Gebäudeenergiegesetz,Sachinhalt,"Thorsten, Schröder",,"01 Start-TC Beitrag: 20:00:48.23 Dauer: 2'12"" Die Bundesregierung hat sich auf eine Novelle des Gebäudeenergiegesetzes geeinigt und damit die Umstellung von Heizungen auf Erneuerbare Energien gebilligt. Von 2024 an sollen alle neu eingebauten Heizungen zu mindestens 65 Prozent mit erneuerbaren Energien betrieben werden. Die Vorschriften werden zur Vermeidung sozialer Härten von Ausnahmen, Übergangsregelungen und Förderungsmöglichkeiten flankiert. Der Koalitionspartner FDP erwartet schon jetzt Änderungen am Gesetzentwurf, Kritik kommt von der Opposition. Bildinhalt",20:01:58.09,"0'15"""
Tagesschau,01 Bundesregierung: Gebäudeenergiegesetz,Sachinhalt,"Thorsten, Schröder",,"Demonstration der Gruppe ""Letzte Generation"" in Berlin",20:00:48.23,"0'16"""
Tagesschau,01 Bundesregierung: Gebäudeenergiegesetz,Sachinhalt,"Thorsten, Schröder",,"Christian Lindner, Robert Habeck und Maco Buschmann im Gespräch",20:01:05.12,"0'06"""
Tagesschau,01 Bundesregierung: Gebäudeenergiegesetz,Sachinhalt,"Thorsten, Schröder",,Bundespressekonferenz mit Klara Geywitz und Robert Habeck 15.11.2023 09:44 Seite 4 von 36 NDR Copyright (c) 2004,20:01:11.21,"0'35"""
Tagesschau,01 Bundesregierung: Gebäudeenergiegesetz,O-Ton,"Thorsten, Schröder",,"Robert Habeck, Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen (Haben große Aufgabe vor uns; beginnen sie recht spät, andere Länder haben das schon früher getan)",20:01:21.04,"0'07"""
Tagesschau,01 Bundesregierung: Gebäudeenergiegesetz,O-Ton,"Thorsten, Schröder",,"Klara Geywitz, Bundesministerin für Wohnen, Stadtentwicklung und Bauwesen/SPD Gesetz wird nicht dazu führen, dass jemand ohne Heizung ist oder sein Haus verkaufen muss, weil sie sich nicht an die Anforderungen des Gesetzes halten können)",20:01:36.16,"0'11"""
Tagesschau,01 Bundesregierung: Gebäudeenergiegesetz,O-Ton,"Thorsten, Schröder",,"Christian Dürr, Fraktionsvorsitzender FDP (Es wird im parlamentarischen Verfahren Änderungen am Gesetzentwurf geben; im Vergleich zum ursprünglichen Entwurf von Robert Habeck ist er besser geworden, aber wir wollen Technologieoffen sein, weil nicht überall die Wärmepumpe passt)",20:02:13.24,"0'12"""
Tagesschau,01 Bundesregierung: Gebäudeenergiegesetz,O-Ton,"Thorsten, Schröder",,"Jens Spahn, stellvertretender Fraktionsvorsitzender CDU/CSU (Das Gesetz, so wie es heute im Kabinett beschlossen wurde, hat schon in der Koalition keine Mehrheit; das Chaos bei der Wärme-Wende geht weiter)",20:02:30.07,"0'11"""
Tagesschau,02 FDP-Parteitag,O-Ton,"Thorsten, Schröder",,"Aufsager Justus Kliss Aufzeichnung/Produktion Sendung Beitrag 01 Programmentstehung Eigenproduktion Herkunft ARD-aktuell und EVN Hauptstadtstudio Berlin Realisation sendefertig 15'11"" Tagesschau F: 24495 22.04.2023 ARDAKT 1'44"" FDP-Parteitag Sa 20:00 02 Titel Serien-/Reihentitel Tagesschau F: 24495 Plan- und Sendedaten Start-TC:20:03:28.02 Ereignistyp Btr. Datum/Uhrzeit Ereignisdauer publiziert von/in ESD 22.04.2023 20:00 1'44"" in 15'11"" NDR @ ARD-1 Anmerkung: zusätzlich in: 3sat; NDR-NDR-RB; WDR-Fernsehen; hessen fernsehen; SWR; tagesschau24; RBB; SR; BR; ARD-Alpha; Phoenix Urheber/Produktion/Mitwirkung Programmbereich ARD-AKTUELL Redaktion (Bereich) ARD-AKTUELL 15.11.2023 09:44 Seite 5 von 36 NDR Copyright (c) 2004",20:02:49.13,"0'12"""
Tagesschau,02 FDP-Parteitag,Sachinhalt,"Julia-Niharika, Sen",,"02 Start-TC Beitrag: 20:03:28.02 Dauer: 1'44"" Der FDP-Bundesparteitag hat darüber entschieden, das Gebäudeenergiegesetzes mit den Vorgaben für den Heizungsaustausch komplett zu stoppen. Der FDP-Bezirksverband Ostwestfalen-Lippe hatte einen entsprechenden Dringlichkeitsantrag eingereicht, der auf dem Parteitag angenommen wurde. Bildinhalt",20:02:49.13,"0'12"""
Tagesschau,02 FDP-Parteitag,Sachinhalt,"Julia-Niharika, Sen",,"FDP-Parteitag, u.a. Frank Schäffler unter den Abgeordneten; Internetseite mit Informationen zum Gebäudeenergiegesetz (Antrag D004); Schäffler bei Rede; Applaus Parteimitglieder",20:03:28.02,"0'52"""
Tagesschau,02 FDP-Parteitag,O-Ton,"Julia-Niharika, Sen",,"Frank Schäffler, Vorsitzender FDP Ostwestfalen-Lippe (Ja wir wollen das Gebäudeenergiegesetz, dass Robert Habeck ja eingebracht hat, dass ja ein Heizungsverbotsgesetz ist, das wollen wir vom Kopf auf die Füße stellen)",20:03:45.09,"0'08"""
