Content Type,Date,Program,Segment Description,Speaker Description,Speaker Name,Subtitle,affiliation,Processed,Sentiment,Certainty
O-Ton,2023-06-13,tagesthemen,"(Es war ein unheimlich wichtiges Signal, dass wir uns jetzt als drei Fraktionsvorsitzendegemeinsam in die Öffentlichkeit begeben haben, und gesagt haben, das ist das, was die Ampel unterstütztund vor dem Sommer auch im Deutschen Bundestag beschließen wird. Auf der einen Seite glaube ichzurecht, die Menschen keinen Streit in dieser Bundesregierung mehr über dieses Gesetz hören wollen. Unddeswegen ist es gut, dass wir das jetzt miteinander geklärt haben. Und zum anderen, weil wir jetzt auchPlanungssicherheit an der Stelle schaffen. Das Gesetz tritt ja bald in Kraft, und damit haben wir jetzt dieSicherheit, wenn das Gesetz auch zeitnah kommt, dass die Menschen wissen, was kommt auf sie zu. Ichkann absolut nachvollziehen, dass Menschen, die sich fragen, brauche ich eine neue Heizung, sich auchfragen wie kann ich die bezahlen? Und deswegen wäre es gut gewesen, wenn von Anfang an schon nebendem Gesetzentwurf, der etwas unfreiwillig das Licht der Öffentlichkeit erblickt hat, auch das Konzept zursozialen Unterstützung dagewesen wäre. Wenn das gleichzeitig dagewesen wäre, hätten wir viel mehrFragen der Menschen nach der sozialen Belastung auch beantworten können. Und das ist mit Sicherheitetwas, was in Zukunft auch unsere Antwort ist, wenn wir Anforderungen stellen, dann muss das, wie geht esfür die Leute, ganz konkret immer daneben stehen. Und das ist vor allen Dingen die Frage wie finanziere ichdas)",dass wir uns jetzt als drei Fraktionsvorsitzende,Katharina Dröge (Es war ein unheimlich wichtiges Signal,"Es ist gut, dass wir das jetzt geklaert haben.",Die Grünen,gut klaern,negative,0.971841037273407
O-Ton,2023-05-10,tagesthemen,"(""Ich biete eine Angriffsfläche, weil wir die Dinge ändern. Die große Koalition, die letzteBundesregierung, hat sich entschieden, ... die Klimaneutralität Deutschlands bis 2045 erreichen zu wollenund hat nichts oder wenig dafür getan. Das ändern wir jetzt. Wir tun etwas dafür. Ich tue etwas dafür ... Dasbedeutet auch, Angriffsfläche zu werden ... Wenn man Deutschland klimaneutral macht, dann heißt es ja imKlartext, es wird kein Gas mehr verbrannt in unseren Häusern. Das ist ein riesen Geschäftsfeld ... Nur will ichnicht die beiden verschiedenen Bereiche, wie es die Opposition, die Union in diesem Fall, tut, vermengen. Ichmöchte Klarheit bei der Fehlerzugabe. Das tun wir. Wir haben das selbst transparent gemacht ... Und dannwill ich aber auch nicht aus taktischen Gründen eine, wie ich finde, unangemessene Entscheidungen treffen"")","weil wir die Dinge ändern. Die große Koalition, die letzte","Robert Habeck (""Ich biete eine Angriffsfläche","selbst wenn es ein politisches Spiel ist, so funktioniert es nun mal ...",Die Grünen,politisch Spiel funktionieren mal,negative,0.962302029132843
O-Ton,2023-06-13,tagesthemen,"(Wenn man will, kannman zueinander kommen, aber man muss es auch wollen; und wenn man nicht will, dann liegt's nicht daran,15.11.2023 09:50 Seite 34 von 57 NDR Copyright (c) 2004",Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,Robert Habeck,"Wenn man will, kann man zueinander kommen. Aber man muss es wollen.",Die Grünen,zueinander kommen,negative,0.9561193585395813
O-Ton,2023-04-19,tagesschau,"(Haben großeAufgabe vor uns; beginnen sie recht spät, andere Länder haben das schon früher getan)",Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,Robert Habeck,Wir haben eine grosse Aufgabe vor uns,Die Grünen,groß Aufgabe,negative,0.9521692395210266
O-Ton,2023-05-10,tagesthemen,"(Es ""geht darum, diese Glaubwürdigkeit wieder herzustellen - das tun wir durch diegenannten Maßnahmen. Es ist heute im Bundestag von dem Generalsekretär Union gesagt worden, unterdem Vorwand der Aufklärung der Trauzeugenaffäre ... 'Wir nutzen das nur, um das Gesetz zur Wärmewendezu bekämpfen.' Das hat er wörtlich so gesagt oder fast wirklich so gesagt. Und sie starten morgen eineKampagne gegen das Gesetz. Und insofern ist also auch der Vorwurf der Union immer an der Frage auchwas wird hier eigentlich miteinander vermengt?"")",diese Glaubwürdigkeit wieder herzustellen - das tun wir durch die,"Robert Habeck (Es ""geht darum","Gerade, weil es so ein grosses Thema fuer Sie ist:",Die Grünen,gerade gross Thema Fuer,negative,0.9019595384597778
O-Ton,2023-05-10,tagesthemen,"(""Ich biete eine Angriffsfläche, weil wir die Dinge ändern. Die große Koalition, die letzteBundesregierung, hat sich entschieden, ... die Klimaneutralität Deutschlands bis 2045 erreichen zu wollenund hat nichts oder wenig dafür getan. Das ändern wir jetzt. Wir tun etwas dafür. Ich tue etwas dafür ... Dasbedeutet auch, Angriffsfläche zu werden ... Wenn man Deutschland klimaneutral macht, dann heißt es ja imKlartext, es wird kein Gas mehr verbrannt in unseren Häusern. Das ist ein riesen Geschäftsfeld ... Nur will ichnicht die beiden verschiedenen Bereiche, wie es die Opposition, die Union in diesem Fall, tut, vermengen. Ichmöchte Klarheit bei der Fehlerzugabe. Das tun wir. Wir haben das selbst transparent gemacht ... Und dannwill ich aber auch nicht aus taktischen Gründen eine, wie ich finde, unangemessene Entscheidungen treffen"")","weil wir die Dinge ändern. Die große Koalition, die letzte","Robert Habeck (""Ich biete eine Angriffsfläche","Das ist richtig, ich biete eine Angriffsflaeche,",Die Grünen,richtig bieten angriffsflaech,negative,0.8960167169570923
O-Ton,2023-06-04,tagesthemen,"(""Da haben wir einGesetz, was wir noch pragmatischer machen können, was wir noch sozialer machen können. Und das tun wirin den Verhandlungen im Deutschen Bundestag. Und dann werden wir gemeinsam das tun, was wir unslange vorgenommen haben, nämlich das [Gebäudeenergiegesetz] vor der Sommerpause im DeutschenBundestag beschließen"")",stellvertretender Fraktionsvorsitzender Bündnis 90/Die Grünen,Andreas Audretsch,"Dann tun wir gemeinsam, was wir uns vorgenommen haben,",Die Grünen,tun gemeinsam vornehmen,negative,0.8950092196464539
O-Ton,2023-05-22,tagesschau,(über PhilippNimmermann),Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,Robert Habeck,"Statt Leidenschaft koennte der Neue eher Leidensfaehigkeit brauchen,",Die Grünen,statt Leidenschaft koennen neu eher Leidensfaehigkeit brauchen,negative,0.8431316018104553
O-Ton,2023-06-30,tagesthemen,(Wir haben ja nocheine Woche Zeit und dann ist genug beraten worden und wir können mal einen Haken dahinter machen),Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,Robert Habeck,"Wir haben ja noch eine Woche Zeit, dann wurde genug beraten.",Die Grünen,ja Woche Zeit genug beraten,negative,0.8110085725784302
O-Ton,2023-05-30,tagesthemen,"(Sehr ärgerlich, dass wir momentan in einerblockierten Situation sind; FDP muss jetzt den Schritt machen, dass wir wieder handlungsfähig sind)",Fraktionsvorsitzende Bündnis 90/Die Grünen,Katharina Dröge,Zumal auch der Anschluss an Fernwaerme eine Option sein koennte.,Die Grünen,zumal Anschluss Fernwaerm Option Koennte,negative,0.7887035012245178
