"","Citizens_Concerns","Policy","Politics","Climate_Context","other"
"1","sozial","heiz","fdp","klimaschutz","schnell"
"2","buerger","gebaeudeenergiegesetz","ampel","klimaneutral","arbeit"
"3","leute","thema","habeck","gru","beantwort"
"4","sorgen","èol","gruen","klima","staerk"
"5","kosten","foerderung","cdu","erneuerbar","sprech"
"6","geld","streit","koalition","sommerpause","versuchen"
"7","moeglichkeit","waermepump","opposition","berlin","diskussion"
"8","einkommen","gesetzentwurf","bundestag","kritik","bleiben"
"9","berat","gasheiz","union","kabinett","bau"
"10","buerg","wasserstoff","partei","zurueck","schaffen"
